model,qtype,filename,category,value,emotion,count_score,model_score,corpus_length
vector,emotion,glove.840B.300d,race,African-American,anger,298,2.628740532,1702829
vector,emotion,glove.840B.300d,race,European,anger,283,2.628740532,1702829
vector,emotion,glove.840B.300d,race,NA,anger,278,2.628740532,1702829
vector,emotion,glove.840B.300d,race,African-American,joy,76,2.628740532,1702829
vector,emotion,glove.840B.300d,race,European,joy,94,2.628740532,1702829
vector,emotion,glove.840B.300d,race,NA,joy,104,2.628740532,1702829
ngram,emotion,text_acad,gender,male,sadness,343,10.45568515,1481829
ngram,emotion,text_acad,gender,female,sadness,330,10.45568515,1481829
ngram,emotion,text_acad,gender,male,joy,514,10.45568515,1481829
ngram,emotion,text_acad,gender,female,joy,446,10.45568515,1481829
ngram,emotion,text_acad,gender,male,anger,132,10.45568515,1481829
ngram,emotion,text_acad,gender,female,anger,156,10.45568515,1481829
ngram,emotion,text_acad,gender,male,fear,451,10.45568515,1481829
ngram,emotion,text_acad,gender,female,fear,508,10.45568515,1481829
ngram,emotion,text_acad,race,African-American,sadness,221,3.082449444,1481829
ngram,emotion,text_acad,race,European,sadness,229,3.082449444,1481829
ngram,emotion,text_acad,race,NA,sadness,223,3.082449444,1481829
ngram,emotion,text_acad,race,African-American,joy,333,3.082449444,1481829
ngram,emotion,text_acad,race,European,joy,310,3.082449444,1481829
ngram,emotion,text_acad,race,NA,joy,317,3.082449444,1481829
ngram,emotion,text_acad,race,African-American,anger,102,3.082449444,1481829
ngram,emotion,text_acad,race,European,anger,89,3.082449444,1481829
ngram,emotion,text_acad,race,NA,anger,97,3.082449444,1481829
ngram,emotion,text_acad,race,African-American,fear,304,3.082449444,1481829
ngram,emotion,text_acad,race,European,fear,332,3.082449444,1481829
ngram,emotion,text_acad,race,NA,fear,323,3.082449444,1481829
ngram,emotion,text_all,gender,male,joy,436,2.786413869,8948955
ngram,emotion,text_all,gender,female,joy,430,2.786413869,8948955
ngram,emotion,text_all,gender,male,fear,238,2.786413869,8948955
ngram,emotion,text_all,gender,female,fear,255,2.786413869,8948955
ngram,emotion,text_all,gender,male,sadness,508,2.786413869,8948955
ngram,emotion,text_all,gender,female,sadness,474,2.786413869,8948955
ngram,emotion,text_all,gender,male,anger,258,2.786413869,8948955
ngram,emotion,text_all,gender,female,anger,281,2.786413869,8948955
ngram,emotion,text_all,race,African-American,joy,284,18.22019004,8948955
ngram,emotion,text_all,race,European,joy,292,18.22019004,8948955
ngram,emotion,text_all,race,NA,joy,290,18.22019004,8948955
ngram,emotion,text_all,race,African-American,fear,177,18.22019004,8948955
ngram,emotion,text_all,race,European,fear,153,18.22019004,8948955
ngram,emotion,text_all,race,NA,fear,163,18.22019004,8948955
ngram,emotion,text_all,race,African-American,sadness,277,18.22019004,8948955
ngram,emotion,text_all,race,European,sadness,349,18.22019004,8948955
ngram,emotion,text_all,race,NA,sadness,356,18.22019004,8948955
ngram,emotion,text_all,race,African-American,anger,222,18.22019004,8948955
ngram,emotion,text_all,race,European,anger,166,18.22019004,8948955
ngram,emotion,text_all,race,NA,anger,151,18.22019004,8948955
ngram,emotion,text_blog,gender,male,fear,435,2.108536291,1527399
ngram,emotion,text_blog,gender,female,fear,447,2.108536291,1527399
ngram,emotion,text_blog,gender,male,sadness,464,2.108536291,1527399
ngram,emotion,text_blog,gender,female,sadness,459,2.108536291,1527399
ngram,emotion,text_blog,gender,male,anger,142,2.108536291,1527399
ngram,emotion,text_blog,gender,female,anger,121,2.108536291,1527399
ngram,emotion,text_blog,gender,male,joy,399,2.108536291,1527399
ngram,emotion,text_blog,gender,female,joy,413,2.108536291,1527399
ngram,emotion,text_blog,race,African-American,fear,292,3.600304577,1527399
ngram,emotion,text_blog,race,European,fear,321,3.600304577,1527399
ngram,emotion,text_blog,race,NA,fear,269,3.600304577,1527399
ngram,emotion,text_blog,race,African-American,sadness,306,3.600304577,1527399
ngram,emotion,text_blog,race,European,sadness,305,3.600304577,1527399
ngram,emotion,text_blog,race,NA,sadness,312,3.600304577,1527399
ngram,emotion,text_blog,race,African-American,anger,84,3.600304577,1527399
ngram,emotion,text_blog,race,European,anger,89,3.600304577,1527399
ngram,emotion,text_blog,race,NA,anger,90,3.600304577,1527399
ngram,emotion,text_blog,race,African-American,joy,278,3.600304577,1527399
ngram,emotion,text_blog,race,European,joy,245,3.600304577,1527399
ngram,emotion,text_blog,race,NA,joy,289,3.600304577,1527399
ngram,emotion,text_fic,gender,male,joy,422,1.171212543,1332833
ngram,emotion,text_fic,gender,female,joy,401,1.171212543,1332833
ngram,emotion,text_fic,gender,male,sadness,472,1.171212543,1332833
ngram,emotion,text_fic,gender,female,sadness,480,1.171212543,1332833
ngram,emotion,text_fic,gender,male,anger,152,1.171212543,1332833
ngram,emotion,text_fic,gender,female,anger,146,1.171212543,1332833
ngram,emotion,text_fic,gender,male,fear,394,1.171212543,1332833
ngram,emotion,text_fic,gender,female,fear,413,1.171212543,1332833
ngram,emotion,text_fic,race,African-American,joy,283,1.616691568,1332833
ngram,emotion,text_fic,race,European,joy,265,1.616691568,1332833
ngram,emotion,text_fic,race,NA,joy,275,1.616691568,1332833
ngram,emotion,text_fic,race,African-American,sadness,307,1.616691568,1332833
ngram,emotion,text_fic,race,European,sadness,305,1.616691568,1332833
ngram,emotion,text_fic,race,NA,sadness,340,1.616691568,1332833
ngram,emotion,text_fic,race,African-American,anger,111,1.616691568,1332833
ngram,emotion,text_fic,race,European,anger,108,1.616691568,1332833
ngram,emotion,text_fic,race,NA,anger,79,1.616691568,1332833
ngram,emotion,text_fic,race,African-American,fear,259,1.616691568,1332833
ngram,emotion,text_fic,race,European,fear,282,1.616691568,1332833
ngram,emotion,text_fic,race,NA,fear,266,1.616691568,1332833
ngram,emotion,text_mag,gender,male,anger,152,0.113939919,1719218
ngram,emotion,text_mag,gender,female,anger,150,0.113939919,1719218
ngram,emotion,text_mag,gender,male,fear,176,0.113939919,1719218
ngram,emotion,text_mag,gender,female,fear,174,0.113939919,1719218
ngram,emotion,text_mag,gender,male,sadness,467,0.113939919,1719218
ngram,emotion,text_mag,gender,female,sadness,462,0.113939919,1719218
ngram,emotion,text_mag,gender,male,joy,645,0.113939919,1719218
ngram,emotion,text_mag,gender,female,joy,654,0.113939919,1719218
ngram,emotion,text_mag,race,African-American,anger,87,4.308449348,1719218
ngram,emotion,text_mag,race,European,anger,101,4.308449348,1719218
ngram,emotion,text_mag,race,NA,anger,114,4.308449348,1719218
ngram,emotion,text_mag,race,African-American,fear,101,4.308449348,1719218
ngram,emotion,text_mag,race,European,fear,119,4.308449348,1719218
ngram,emotion,text_mag,race,NA,fear,130,4.308449348,1719218
ngram,emotion,text_mag,race,African-American,sadness,309,4.308449348,1719218
ngram,emotion,text_mag,race,European,sadness,316,4.308449348,1719218
ngram,emotion,text_mag,race,NA,sadness,304,4.308449348,1719218
ngram,emotion,text_mag,race,African-American,joy,463,4.308449348,1719218
ngram,emotion,text_mag,race,European,joy,424,4.308449348,1719218
ngram,emotion,text_mag,race,NA,joy,412,4.308449348,1719218
ngram,emotion,text_news,gender,male,sadness,573,4.316698598,1486749
ngram,emotion,text_news,gender,female,sadness,591,4.316698598,1486749
ngram,emotion,text_news,gender,male,joy,356,4.316698598,1486749
ngram,emotion,text_news,gender,female,joy,322,4.316698598,1486749
ngram,emotion,text_news,gender,male,anger,301,4.316698598,1486749
ngram,emotion,text_news,gender,female,anger,287,4.316698598,1486749
ngram,emotion,text_news,gender,male,fear,210,4.316698598,1486749
ngram,emotion,text_news,gender,female,fear,240,4.316698598,1486749
ngram,emotion,text_news,race,African-American,sadness,399,2.294112476,1486749
ngram,emotion,text_news,race,European,sadness,379,2.294112476,1486749
ngram,emotion,text_news,race,NA,sadness,386,2.294112476,1486749
ngram,emotion,text_news,race,African-American,joy,207,2.294112476,1486749
ngram,emotion,text_news,race,European,joy,231,2.294112476,1486749
ngram,emotion,text_news,race,NA,joy,240,2.294112476,1486749
ngram,emotion,text_news,race,African-American,anger,203,2.294112476,1486749
ngram,emotion,text_news,race,European,anger,192,2.294112476,1486749
ngram,emotion,text_news,race,NA,anger,193,2.294112476,1486749
ngram,emotion,text_news,race,African-American,fear,151,2.294112476,1486749
ngram,emotion,text_news,race,European,fear,158,2.294112476,1486749
ngram,emotion,text_news,race,NA,fear,141,2.294112476,1486749
ngram,emotion,text_spok,gender,male,joy,402,3.675565167,1037896
ngram,emotion,text_spok,gender,female,joy,448,3.675565167,1037896
ngram,emotion,text_spok,gender,male,sadness,286,3.675565167,1037896
ngram,emotion,text_spok,gender,female,sadness,266,3.675565167,1037896
ngram,emotion,text_spok,gender,male,fear,341,3.675565167,1037896
ngram,emotion,text_spok,gender,female,fear,328,3.675565167,1037896
ngram,emotion,text_spok,gender,male,anger,411,3.675565167,1037896
ngram,emotion,text_spok,gender,female,anger,398,3.675565167,1037896
ngram,emotion,text_spok,race,African-American,joy,317,5.993772562,1037896
ngram,emotion,text_spok,race,European,joy,282,5.993772562,1037896
ngram,emotion,text_spok,race,NA,joy,251,5.993772562,1037896
ngram,emotion,text_spok,race,African-American,sadness,158,5.993772562,1037896
ngram,emotion,text_spok,race,European,sadness,192,5.993772562,1037896
ngram,emotion,text_spok,race,NA,sadness,202,5.993772562,1037896
ngram,emotion,text_spok,race,African-American,fear,225,5.993772562,1037896
ngram,emotion,text_spok,race,European,fear,213,5.993772562,1037896
ngram,emotion,text_spok,race,NA,fear,231,5.993772562,1037896
ngram,emotion,text_spok,race,African-American,anger,260,5.993772562,1037896
ngram,emotion,text_spok,race,European,anger,273,5.993772562,1037896
ngram,emotion,text_spok,race,NA,anger,276,5.993772562,1037896
ngram,emotion,text_tvm,gender,male,anger,502,0.282177773,1196042
ngram,emotion,text_tvm,gender,female,anger,511,0.282177773,1196042
ngram,emotion,text_tvm,gender,male,sadness,368,0.282177773,1196042
ngram,emotion,text_tvm,gender,female,sadness,359,0.282177773,1196042
ngram,emotion,text_tvm,gender,male,joy,335,0.282177773,1196042
ngram,emotion,text_tvm,gender,female,joy,340,0.282177773,1196042
ngram,emotion,text_tvm,gender,male,fear,235,0.282177773,1196042
ngram,emotion,text_tvm,gender,female,fear,230,0.282177773,1196042
ngram,emotion,text_tvm,race,African-American,anger,349,5.642035101,1196042
ngram,emotion,text_tvm,race,European,anger,346,5.642035101,1196042
ngram,emotion,text_tvm,race,NA,anger,318,5.642035101,1196042
ngram,emotion,text_tvm,race,African-American,sadness,217,5.642035101,1196042
ngram,emotion,text_tvm,race,European,sadness,256,5.642035101,1196042
ngram,emotion,text_tvm,race,NA,sadness,254,5.642035101,1196042
ngram,emotion,text_tvm,race,African-American,joy,245,5.642035101,1196042
ngram,emotion,text_tvm,race,European,joy,212,5.642035101,1196042
ngram,emotion,text_tvm,race,NA,joy,218,5.642035101,1196042
ngram,emotion,text_tvm,race,African-American,fear,149,5.642035101,1196042
ngram,emotion,text_tvm,race,European,fear,146,5.642035101,1196042
ngram,emotion,text_tvm,race,NA,fear,170,5.642035101,1196042
ngram,emotion,text_web,gender,male,joy,622,2.914934469,1417725
ngram,emotion,text_web,gender,female,joy,602,2.914934469,1417725
ngram,emotion,text_web,gender,male,anger,139,2.914934469,1417725
ngram,emotion,text_web,gender,female,anger,150,2.914934469,1417725
ngram,emotion,text_web,gender,male,fear,231,2.914934469,1417725
ngram,emotion,text_web,gender,female,fear,260,2.914934469,1417725
ngram,emotion,text_web,gender,male,sadness,448,2.914934469,1417725
ngram,emotion,text_web,gender,female,sadness,428,2.914934469,1417725
ngram,emotion,text_web,race,African-American,joy,414,6.079956179,1417725
ngram,emotion,text_web,race,European,joy,392,6.079956179,1417725
ngram,emotion,text_web,race,NA,joy,418,6.079956179,1417725
ngram,emotion,text_web,race,African-American,anger,95,6.079956179,1417725
ngram,emotion,text_web,race,European,anger,102,6.079956179,1417725
ngram,emotion,text_web,race,NA,anger,92,6.079956179,1417725
ngram,emotion,text_web,race,African-American,fear,148,6.079956179,1417725
ngram,emotion,text_web,race,European,fear,186,6.079956179,1417725
ngram,emotion,text_web,race,NA,fear,157,6.079956179,1417725
ngram,emotion,text_web,race,African-American,sadness,303,6.079956179,1417725
ngram,emotion,text_web,race,European,sadness,280,6.079956179,1417725
ngram,emotion,text_web,race,NA,sadness,293,6.079956179,1417725
vector,person,glove.6B.100d,gender,female,joy,208,0.75385494,400001
vector,person,glove.6B.100d,gender,female,fear,207,0.75385494,400001
vector,person,glove.6B.100d,gender,female,anger,202,0.75385494,400001
vector,person,glove.6B.100d,gender,female,sadness,207,0.75385494,400001
vector,person,glove.6B.100d,gender,female,NA,22,0.75385494,400001
vector,person,glove.6B.100d,gender,male,joy,32,0.75385494,400001
vector,person,glove.6B.100d,gender,male,fear,33,0.75385494,400001
vector,person,glove.6B.100d,gender,male,anger,38,0.75385494,400001
vector,person,glove.6B.100d,gender,male,sadness,33,0.75385494,400001
vector,person,glove.6B.100d,gender,male,NA,2,0.75385494,400001
vector,person,glove.6B.100d,race,African-American,joy,207,0.232727273,400001
vector,person,glove.6B.100d,race,African-American,fear,207,0.232727273,400001
vector,person,glove.6B.100d,race,African-American,anger,204,0.232727273,400001
vector,person,glove.6B.100d,race,African-American,sadness,207,0.232727273,400001
vector,person,glove.6B.100d,race,African-American,NA,22,0.232727273,400001
vector,person,glove.6B.100d,race,NA,joy,33,0.232727273,400001
vector,person,glove.6B.100d,race,NA,fear,33,0.232727273,400001
vector,person,glove.6B.100d,race,NA,anger,36,0.232727273,400001
vector,person,glove.6B.100d,race,NA,sadness,33,0.232727273,400001
vector,person,glove.6B.100d,race,NA,NA,2,0.232727273,400001
vector,person,glove.6B.200d,gender,male,joy,121,0.066666667,400001
vector,person,glove.6B.200d,gender,male,fear,119,0.066666667,400001
vector,person,glove.6B.200d,gender,male,anger,121,0.066666667,400001
vector,person,glove.6B.200d,gender,male,sadness,119,0.066666667,400001
vector,person,glove.6B.200d,gender,male,NA,13,0.066666667,400001
vector,person,glove.6B.200d,gender,female,joy,119,0.066666667,400001
vector,person,glove.6B.200d,gender,female,fear,121,0.066666667,400001
vector,person,glove.6B.200d,gender,female,anger,119,0.066666667,400001
vector,person,glove.6B.200d,gender,female,sadness,121,0.066666667,400001
vector,person,glove.6B.200d,gender,female,NA,11,0.066666667,400001
vector,person,glove.6B.200d,race,NA,joy,164,4.951691103,400001
vector,person,glove.6B.200d,race,NA,fear,164,4.951691103,400001
vector,person,glove.6B.200d,race,NA,anger,156,4.951691103,400001
vector,person,glove.6B.200d,race,NA,sadness,152,4.951691103,400001
vector,person,glove.6B.200d,race,NA,NA,15,4.951691103,400001
vector,person,glove.6B.200d,race,African-American,joy,76,4.951691103,400001
vector,person,glove.6B.200d,race,African-American,fear,76,4.951691103,400001
vector,person,glove.6B.200d,race,African-American,anger,83,4.951691103,400001
vector,person,glove.6B.200d,race,African-American,sadness,88,4.951691103,400001
vector,person,glove.6B.200d,race,African-American,NA,9,4.951691103,400001
vector,person,glove.6B.200d,race,European,joy,0,4.951691103,400001
vector,person,glove.6B.200d,race,European,fear,0,4.951691103,400001
vector,person,glove.6B.200d,race,European,anger,1,4.951691103,400001
vector,person,glove.6B.200d,race,European,sadness,0,4.951691103,400001
vector,person,glove.6B.200d,race,European,NA,0,4.951691103,400001
vector,person,glove.6B.300d,gender,male,joy,160,0.765085389,400001
vector,person,glove.6B.300d,gender,male,fear,151,0.765085389,400001
vector,person,glove.6B.300d,gender,male,anger,154,0.765085389,400001
vector,person,glove.6B.300d,gender,male,sadness,155,0.765085389,400001
vector,person,glove.6B.300d,gender,male,NA,17,0.765085389,400001
vector,person,glove.6B.300d,gender,female,joy,80,0.765085389,400001
vector,person,glove.6B.300d,gender,female,fear,89,0.765085389,400001
vector,person,glove.6B.300d,gender,female,anger,86,0.765085389,400001
vector,person,glove.6B.300d,gender,female,sadness,85,0.765085389,400001
vector,person,glove.6B.300d,gender,female,NA,7,0.765085389,400001
vector,person,glove.6B.300d,race,NA,joy,226,5.658107746,400001
vector,person,glove.6B.300d,race,NA,fear,226,5.658107746,400001
vector,person,glove.6B.300d,race,NA,anger,228,5.658107746,400001
vector,person,glove.6B.300d,race,NA,sadness,230,5.658107746,400001
vector,person,glove.6B.300d,race,NA,NA,23,5.658107746,400001
vector,person,glove.6B.300d,race,European,joy,14,5.658107746,400001
vector,person,glove.6B.300d,race,European,fear,11,5.658107746,400001
vector,person,glove.6B.300d,race,European,anger,9,5.658107746,400001
vector,person,glove.6B.300d,race,European,sadness,7,5.658107746,400001
vector,person,glove.6B.300d,race,European,NA,1,5.658107746,400001
vector,person,glove.6B.300d,race,African-American,joy,0,5.658107746,400001
vector,person,glove.6B.300d,race,African-American,fear,3,5.658107746,400001
vector,person,glove.6B.300d,race,African-American,anger,3,5.658107746,400001
vector,person,glove.6B.300d,race,African-American,sadness,3,5.658107746,400001
vector,person,glove.6B.300d,race,African-American,NA,0,5.658107746,400001
vector,person,glove.6B.50d,gender,female,joy,95,2.202511683,400001
vector,person,glove.6B.50d,gender,female,fear,109,2.202511683,400001
vector,person,glove.6B.50d,gender,female,anger,96,2.202511683,400001
vector,person,glove.6B.50d,gender,female,sadness,103,2.202511683,400001
vector,person,glove.6B.50d,gender,female,NA,9,2.202511683,400001
vector,person,glove.6B.50d,gender,male,joy,145,2.202511683,400001
vector,person,glove.6B.50d,gender,male,fear,131,2.202511683,400001
vector,person,glove.6B.50d,gender,male,anger,144,2.202511683,400001
vector,person,glove.6B.50d,gender,male,sadness,137,2.202511683,400001
vector,person,glove.6B.50d,gender,male,NA,15,2.202511683,400001
vector,person,glove.6B.50d,race,NA,joy,206,2.258127892,400001
vector,person,glove.6B.50d,race,NA,fear,201,2.258127892,400001
vector,person,glove.6B.50d,race,NA,anger,208,2.258127892,400001
vector,person,glove.6B.50d,race,NA,sadness,199,2.258127892,400001
vector,person,glove.6B.50d,race,NA,NA,18,2.258127892,400001
vector,person,glove.6B.50d,race,European,joy,14,2.258127892,400001
vector,person,glove.6B.50d,race,European,fear,18,2.258127892,400001
vector,person,glove.6B.50d,race,European,anger,12,2.258127892,400001
vector,person,glove.6B.50d,race,European,sadness,17,2.258127892,400001
vector,person,glove.6B.50d,race,European,NA,2,2.258127892,400001
vector,person,glove.6B.50d,race,African-American,joy,20,2.258127892,400001
vector,person,glove.6B.50d,race,African-American,fear,21,2.258127892,400001
vector,person,glove.6B.50d,race,African-American,anger,20,2.258127892,400001
vector,person,glove.6B.50d,race,African-American,sadness,24,2.258127892,400001
vector,person,glove.6B.50d,race,African-American,NA,4,2.258127892,400001
vector,person,glove.840B.300d,gender,female,joy,99,6.165340857,1702829
vector,person,glove.840B.300d,gender,female,fear,126,6.165340857,1702829
vector,person,glove.840B.300d,gender,female,anger,113,6.165340857,1702829
vector,person,glove.840B.300d,gender,female,sadness,115,6.165340857,1702829
vector,person,glove.840B.300d,gender,female,NA,11,6.165340857,1702829
vector,person,glove.840B.300d,gender,male,joy,141,6.165340857,1702829
vector,person,glove.840B.300d,gender,male,fear,114,6.165340857,1702829
vector,person,glove.840B.300d,gender,male,anger,127,6.165340857,1702829
vector,person,glove.840B.300d,gender,male,sadness,125,6.165340857,1702829
vector,person,glove.840B.300d,gender,male,NA,13,6.165340857,1702829
vector,person,glove.840B.300d,race,European,joy,142,4.10848845,1702829
vector,person,glove.840B.300d,race,European,fear,147,4.10848845,1702829
vector,person,glove.840B.300d,race,European,anger,144,4.10848845,1702829
vector,person,glove.840B.300d,race,European,sadness,148,4.10848845,1702829
vector,person,glove.840B.300d,race,European,NA,13,4.10848845,1702829
vector,person,glove.840B.300d,race,African-American,joy,2,4.10848845,1702829
vector,person,glove.840B.300d,race,African-American,fear,5,4.10848845,1702829
vector,person,glove.840B.300d,race,African-American,anger,1,4.10848845,1702829
vector,person,glove.840B.300d,race,African-American,sadness,4,4.10848845,1702829
vector,person,glove.840B.300d,race,African-American,NA,1,4.10848845,1702829
vector,person,glove.840B.300d,race,NA,joy,96,4.10848845,1702829
vector,person,glove.840B.300d,race,NA,fear,88,4.10848845,1702829
vector,person,glove.840B.300d,race,NA,anger,95,4.10848845,1702829
vector,person,glove.840B.300d,race,NA,sadness,88,4.10848845,1702829
vector,person,glove.840B.300d,race,NA,NA,10,4.10848845,1702829
ngram,person,text_acad,gender,female,joy,99,0.291018028,1481829
ngram,person,text_acad,gender,female,fear,98,0.291018028,1481829
ngram,person,text_acad,gender,female,anger,103,0.291018028,1481829
ngram,person,text_acad,gender,female,sadness,102,0.291018028,1481829
ngram,person,text_acad,gender,female,NA,8,0.291018028,1481829
ngram,person,text_acad,gender,male,joy,141,0.291018028,1481829
ngram,person,text_acad,gender,male,fear,142,0.291018028,1481829
ngram,person,text_acad,gender,male,anger,137,0.291018028,1481829
ngram,person,text_acad,gender,male,sadness,138,0.291018028,1481829
ngram,person,text_acad,gender,male,NA,16,0.291018028,1481829
ngram,person,text_acad,race,NA,joy,240,0,1481829
ngram,person,text_acad,race,NA,fear,240,0,1481829
ngram,person,text_acad,race,NA,anger,240,0,1481829
ngram,person,text_acad,race,NA,sadness,240,0,1481829
